COD_ART,NOM_ART,COD_GRU,Cj/H,Disponible,Calidad,Stock Externo,Pedido,1ª OF,OF,Cob-15,Vta -15,M_Vta -15,Vta -60,M_Vta-60,Vta -15 AA,M_Vta -15 AA,Vta +15 AA,M_Vta +15 AA,% Vta-15/ AA,% Vta-15/ +15 AA,Disponible_Inicial,variacion_aa,demanda_media,demanda_prov,stock_inicial,demanda_periodo,stock_seguridad,cobertura_inicial,cobertura_final_est,cajas_a_producir,horas_necesarias
433701,Bollito Easy Pack de 8 Uds,VIME,133.91913,797.0,0.0,0.0,0.0,,0.0,"1,2",18.0,1.2,408.0,"6,8",88.0,5.9,77.0,5.1,"20,50%","7,60%",797.0,0.13559322033898313,1.2,4.8,792.2,8.0,4.0,660.2,653.5,,
434011,Panecito Sin Sal Añadida Easy,MEC,158.39017,349.0,0.0,0.0,0.0,,0.0,"5,6",84.0,5.6,1.082,18,590.0,39.4,342.0,22.8,"14,20%","11,50%",349.0,0.42131979695431465,3.240609137055838,12.962436548223351,336.03756345177663,23.0,10.0,103.7,96.6,,
434111,Panecito con Salvado Sin Sal Añadida Easy,MEC,158.40635,251.0,0.0,392.0,0.0,,0.0,,,0.0,437.0,"7,3",189.0,12.6,168.0,11.2,,"7,50%",251.0,0.11111111111111116,0.0,0.0,643.0,0.0,0.0,inf,inf,,
434201,Viena Easy,MEC,185.45964,977.0,0.0,0.0,41.0,2025-01-08,381.0,"29,8",447.0,29.8,3.615,"60,3",530.0,35.3,739.0,49.3,"84,30%","4,80%",977.0,0.3966005665722381,41.61869688385269,166.47478753541077,810.5252124645892,291.0,125.0,19.5,12.5,0.0,0.0
434721,Bollito Easy,VIME,134.85559,313.0,0.0,0.0,145.0,,0.0,"22,6",339.0,22.6,2.829,"47,2",537.0,35.8,819.0,54.6,"63,10%","4,40%",313.0,0.5251396648044695,34.46815642458101,137.87262569832404,175.12737430167596,241.0,103.0,5.1,-1.9,755.2357541899443,5.600329613254773
435711,Rombito Integral 100%,VIME,122.40097,177.0,0.0,0.0,1.0,,0.0,"2,6",39.0,2.6,224.0,"3,7",,0.0,,0.0,"0,00%",,177.0,0.0,2.6,10.4,166.6,18.0,8.0,64.1,57.2,,
436701,Mollete Multicereal con Quinoa (3%),MEC,134.87342,25.0,0.0,0.0,0.0,,0.0,"0,1",2.0,0.1,39.0,"0,7",,0.0,,0.0,"0,00%",,25.0,0.0,0.1,0.4,24.6,1.0,0.0,246.0,236.0,,
438801,Panecillo con Semillas,VIME,138.83391,58.0,0.0,140.0,2.0,,0.0,"3,7",56.0,3.7,417.0,7,127.0,8.5,19.0,1.3,"44,10%","44,60%",58.0,0.8470588235294118,0.5658823529411765,2.263529411764706,195.7364705882353,4.0,2.0,345.9,338.8,,
453233,Panecillo 100% Integral,VIME,113.63273,0.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
453241,Panecillo 100% Integral,VIME,113.63273,120.0,0.0,0.0,0.0,,0.0,"3,7",56.0,3.7,438.0,"7,3",,0.0,,0.0,"0,00%",,120.0,0.0,3.7,14.8,105.2,26.0,11.0,28.4,21.4,0.0,0.0
453243,Panecillo 100% Integral,VIME,123.95874,1115.0,0.0,0.0,0.0,,0.0,"11,7",175.0,11.7,1.32,22,,0.0,,0.0,"0,00%",,1115.0,0.0,11.7,46.8,1068.2,82.0,35.0,91.3,84.3,,
453251,Panecillo 100% Integral,VIME,118.69587,1252.0,0.0,0.0,224.0,,0.0,"106,4",1596.0,106.4,25.62,427,,0.0,,0.0,"0,00%",,1252.0,0.0,106.4,425.6,826.4,745.0,319.0,7.8,0.8,2046.6,17.24238593979723
454001,Panecillo 100% Integral,VIME,98.9047,0.0,0.0,0.0,0.0,,0.0,,,0.0,155.0,"2,6",8.0,0.5,5.0,0.3,,"10,70%",0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,,
5718540,Panecillo con  Semillas,VIME,138.85714,231.0,0.0,812.0,588.0,2025-01-11,1135.0,"147,5",2212.0,147.5,18.341,"305,7",4.203,280.2,2.358,157.2,"52,60%","11,90%",1366.0,0.43897216274089934,82.75160599571734,331.00642398286936,1846.9935760171306,579.0,248.0,22.3,15.3,387.0385438972162,2.787314673895892
5718619,Pulguita,MEC,160.291,619.0,0.0,28.0,476.0,2025-01-09,2896.0,"74,7",1120.0,74.7,12.32,"205,3",5.49,366.0,3.619,241.3,"20,40%","10,10%",3515.0,0.34071038251366115,49.24893442622952,196.99573770491807,3346.004262295082,345.0,148.0,67.9,60.9,,
5720811,Baguetina Cereales,VIME,107.09612,172.0,0.0,728.0,224.0,2025-01-11,904.0,"205,4",3081.0,205.4,15.571,"259,5",,0.0,,0.0,"0,00%",,1076.0,0.0,205.4,821.6,982.4,1438.0,616.0,4.8,-2.2,8527.615584387102,79.62581262875912
604301,Pepito Easy Pack 5 uds,MEC,166.21437,215.0,0.0,0.0,1.0,,0.0,"1,5",23.0,1.5,208.0,"3,5",,0.0,,0.0,"0,00%",,215.0,0.0,1.5,6.0,209.0,10.0,4.0,139.3,132.7,,
