COD_ART;NOM_ART;COD_GRU;Estado;Orden_Planificacion;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Total_Palets;Total_Stock;Penalizacion_Espacio
453243;Panecillo 100% Integral;VIME;Válido sin producción;INICIO;11,7;1068,2;0;0,0;91,3;0,0;84,3;38,15;1068,2;-100
433701;Bollito Easy Pack de 8 Uds;VIME;Válido sin producción;INICIO;1,2;792,2;0;0,0;660,17;0,0;653,17;28,29;792,2;-100
430702;Panecito Ecológico Easy;MEC;Válido sin producción;INICIO;7,3;1714,8;0;0,0;234,9;0,0;227,9;61,24;1714,8;-100
406002;Panecito Integral 100% Ecológico Easy;MEC;Válido sin producción;INICIO;0,1;552,9;0;0,0;5529,0;0,0;5522,0;19,75;552,9;-100
402011;Viena Mondat 145 gr;MEC;Válido sin producción;;56,5;1307,4;0;0,0;23,14;0,0;16,14;46,69;1307,4;-100
432821;Pan Bocadillo Easy;MEC;Válido sin producción;;27,3;728,8;0;0,0;26,7;0,0;19,7;26,03;728,8;-100
432421;Bollo Easy;MEC;Válido sin producción;;13,9;620,4;0;0,0;44,63;0,0;37,63;22,16;620,4;-100
403341;Barra de Viena;MEC;Válido sin producción;;26,9;1239,35;0;0,0;46,07;0,0;39,07;44,26;1239,35;-100
423321;Mollete;MEC;Válido sin producción;;16,7;825,65;0;0,0;49,44;0,0;42,44;29,49;825,65;-100
406401;Viena con Salvado Pequeña;MEC;Válido sin producción;;10,9;541,4;0;0,0;49,67;0,0;42,67;19,34;541,4;-100
423301;Mollete Pack 4 UDS;MEC;Válido sin producción;;1,9;102,4;0;0,0;53,89;0,0;46,89;3,66;102,4;-100
5718619;Pulguita;MEC;Válido sin producción;;49,24;2911,63;0;0,0;59,13;0,0;52,13;103,99;2911,63;-100
430731;Panecito Easy;MEC;Válido sin producción;;25,5;1616,0;0;0,0;63,37;0,0;56,37;57,71;1616,0;-100
401111;Bocata;MEC;Válido sin producción;;16,42;1189,28;0;0,0;72,44;0,0;65,44;42,47;1189,28;-100
400121;Miniatura;MEC;Válido sin producción;;5,97;539,03;0;0,0;90,34;0,0;83,34;14,97;539,03;-100
434011;Panecito Sin Sal Añadida Easy;MEC;Válido sin producción;;3,25;336,02;0;0,0;103,51;0,0;96,51;12,0;336,02;-100
401881;Bollo;MEC;Válido sin producción;;3,4;356,4;0;0,0;104,82;0,0;97,82;12,73;356,4;-100
604301;Pepito Easy Pack 5 uds;MEC;Válido sin producción;;1,5;209,0;0;0,0;139,33;0,0;132,33;7,46;209,0;-100
436701;Mollete Multicereal con Quinoa (3%);MEC;Válido sin producción;;0,1;24,6;0;0,0;246,0;0,0;239,0;0,88;24,6;-100
425351;Payesito Mondat;MEC;Válido sin producción;;1,19;423,09;0;0,0;355,54;0,0;348,54;11,75;423,09;-100
405121;Miniatura con Salvado;MEC;Válido sin producción;;0,25;427,0;0;0,0;1708,0;0,0;1701,0;11,86;427,0;-100
5718540;Panecillo con  Semillas;VIME;Válido sin producción;FINAL;82,75;1676,74;0;0,0;20,26;0,0;13,26;59,88;1676,74;-100
435711;Rombito Integral 100%;VIME;Válido sin producción;FINAL;2,6;166,6;0;0,0;64,08;0,0;57,08;4,63;166,6;-100
407411;Bollo Rústico Semillado;VIME;Válido sin producción;FINAL;0,7;133,2;0;0,0;190,29;0,0;183,29;4,76;133,2;-100
438801;Panecillo con Semillas;VIME;Válido sin producción;FINAL;0,55;195,79;0;0,0;353,7;0,0;346,7;6,99;195,79;-100
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;Válido sin producción;FINAL;0,2;242,2;0;0,0;1211,0;0,0;1204,0;6,73;242,2;-100
421702;Barra de Viena Ecológica Easy;MEC;No válido;INICIO;0,0;629,0;0;0,0;0,0;0,0;0,0;22,46;629,0;-100
421802;Bollo Ecológico Easy;MEC;No válido;INICIO;0,0;645,4;0;0,0;0,0;0,0;0,0;23,05;645,4;-100
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;No válido;INICIO;0,0;367,0;0;0,0;0,0;0,0;0,0;13,11;367,0;-100
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;No válido;;0,0;56,0;0;0,0;0,0;0,0;0,0;2,0;56,0;-100
432501;Pan Bocadillo con Salvado Easy;MEC;No válido;;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;-100
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;No válido;;0,0;643,0;0;0,0;0,0;0,0;0,0;22,96;643,0;-100
