Clasificacion;COD_ART;NOM_ART;COD_GRU;Cj/H;cj/palet
DESCATALOGADO;453211;Panecillo 100% Integral;VIME;108,80043;28
DESCATALOGADO;453221;Panecillo 100% Integral;VIME;108,80043;28
DESCATALOGADO;453223;Panecillo 100% Integral;VIME;102,00064;28
DESCATALOGADO;453233;Panecillo 100% Integral;VIME;113,63273;28
DESCATALOGADO;453241;Panecillo 100% Integral;VIME;113,63273;28
ACTIVO;453243;Panecillo 100% Integral;VIME;123,95874;28
ACTIVO;453251;Panecillo 100% Integral;VIME;118,69587;28
DESCATALOGADO;454001;Panecillo 100% Integral;VIME;98,9047;28
ACTIVO;5718540;Panecillo con  Semillas;VIME;138,85714;28
ACTIVO;5718619;Pulguita;MEC;160,291;28
ACTIVO;5720811;Baguetina Cereales;VIME;107,09612;28
ACTIVO;604301;Pepito Easy Pack 5 uds;MEC;166,21437;28
