COD_ART;NOM_ART;COD_GRU;Estado;Grupo;Orden_Planificacion;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Tipo;Total_Palets;Total_Stock;Penalizacion_Espacio
400121;Miniatura;MEC;Válido sin producción; ;29;5,97;509,33;0,0;0,0;85,36;85,36;78,36;RESUMEN;1563,06;43718,53;-100
401111;Bocata;MEC;Válido sin producción; ;27;16,42;1154,93;0,0;0,0;70,35;70,35;63,35;RESUMEN;1563,06;43718,53;-100
401301;Baguette Plus;MEC;Válido sin producción; ;28;9,6;701,4;0,0;0,0;73,06;73,06;66,06;RESUMEN;1563,06;43718,53;-100
401881;Bollo;MEC;Válido sin producción; ;32;3,4;356,4;0,0;0,0;104,82;104,82;97,82;RESUMEN;1563,06;43718,53;-100
405121;Miniatura con Salvado;MEC;Válido sin producción; ;41;0,25;427,0;0,0;0,0;1708,0;1708,0;1701,0;RESUMEN;1563,06;43718,53;-100
406002;Panecito Integral 100% Ecológico Easy;MEC;Válido sin producción; ;42;0,1;532,0;0,0;0,0;5320,0;5320,0;5313,0;RESUMEN;1563,06;43718,53;-100
407411;Bollo Rústico Semillado;VIME;Válido sin producción; ;34;0,7;133,2;0,0;0,0;190,29;190,29;183,29;RESUMEN;1563,06;43718,53;-100
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;Válido sin producción; ;40;0,2;242,2;0,0;0,0;1211,0;1211,0;1204,0;RESUMEN;1563,06;43718,53;-100
425351;Payesito Mondat;MEC;Válido sin producción; ;37;1,19;403,04;0,0;0,0;338,69;338,69;331,69;RESUMEN;1563,06;43718,53;-100
430702;Panecito Ecológico Easy;MEC;Válido sin producción; ;35;7,3;1714,8;0,0;0,0;234,9;234,9;227,9;RESUMEN;1563,06;43718,53;-100
430731;Panecito Easy;MEC;Válido sin producción; ;25;25,5;1616,0;0,0;0,0;63,37;63,37;56,37;RESUMEN;1563,06;43718,53;-100
433701;Bollito Easy Pack de 8 Uds;VIME;Válido sin producción; ;39;1,2;792,2;0,0;0,0;660,17;660,17;653,17;RESUMEN;1563,06;43718,53;-100
434011;Panecito Sin Sal Añadida Easy;MEC;Válido sin producción; ;31;3,25;336,02;0,0;0,0;103,51;103,51;96,51;RESUMEN;1563,06;43718,53;-100
435711;Rombito Integral 100%;VIME;Válido sin producción; ;26;2,6;166,6;0,0;0,0;64,08;64,08;57,08;RESUMEN;1563,06;43718,53;-100
436701;Mollete Multicereal con Quinoa (3%);MEC;Válido sin producción; ;36;0,1;24,6;0,0;0,0;246,0;246,0;239,0;RESUMEN;1563,06;43718,53;-100
438801;Panecillo con Semillas;VIME;Válido sin producción; ;38;0,55;195,79;0,0;0,0;353,7;353,7;346,7;RESUMEN;1563,06;43718,53;-100
453243;Panecillo 100% Integral;VIME;Válido sin producción; ;30;11,7;1068,2;0,0;0,0;91,3;91,3;84,3;RESUMEN;1563,06;43718,53;-100
604301;Pepito Easy Pack 5 uds;MEC;Válido sin producción; ;33;1,5;209,0;0,0;0,0;139,33;139,33;132,33;RESUMEN;1563,06;43718,53;-100
400233;Pepito;MEC;No válido; ;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
401113;Bocata;MEC;No válido; ;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
401421;Barra Castellana;MEC;No válido; ;0;0,0;568,4;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
401423;Barra Castellana;MEC;No válido; ;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
402801;Viena;MEC;No válido; ;0;0,0;65,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
404903;Viena 170g;MEC;No válido; ;0;0,0;87,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
421702;Barra de Viena Ecológica Easy;MEC;No válido; ;0;0,0;629,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
421802;Bollo Ecológico Easy;MEC;No válido; ;0;0,0;620,2;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;No válido; ;0;0,0;367,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;No válido; ;0;0,0;56,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
430301;Panecillo Semillas Easy;VIME;No válido; ;0;0,0;277,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
432501;Pan Bocadillo con Salvado Easy;MEC;No válido; ;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;No válido; ;0;0,0;643,0;0,0;0,0;0,0;0,0;0,0;RESUMEN;1563,06;43718,53;-100
