Fecha Inicio;27/12/2024;;;;;;;;
Fecha Fin;06/01/2025;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
COD_ART;NOM_ART;Cj/H;M_Vta -15;Disponible;Calidad;Stock Externo;M_Vta -15 AA;M_Vta +15 AA;cajas_hora;stock_total;var_ex_AA_abs;demanda_diaria;cajas_necesarias;cajas_a_producir;horas_necesarias
432211;Pepito con Salvado Easy;166.21578;65.3;701.0;0.0;;51.0;25.1;166.21578;701.0;0.5078431372549019;33.16215686274509;0.0;332.43156;2.0
421702;Barra de Viena Ecológica Easy;180.00603;11.3;721.0;0.0;;;;180.00603;721.0;0.0;11.3;0.0;360.01206;2.0
434111;Panecito con Salvado Sin Sal Añadida Easy;158.40635;5.6;363.0;0.0;392.0;10.1;18.7;158.40635;755.0;0.8514851485148516;-4.768316831683168;0.0;316.8127;2.0
453251;Panecillo 100% Integral;118.69587;317.3;812.0;0.0;;;;118.69587;812.0;0.0;317.3;3312.9000000000005;3312.9000000000005;27.910827899909243
432821;Pan Bocadillo Easy;169.99643;50.4;818.0;0.0;;38.6;30.5;169.99643;818.0;0.2098445595854923;10.576165803108813;0.0;339.99286;2.0
402011;Viena Mondat 145 gr;246.74846;137.5;950.0;0.0;;85.9;132.4;246.74846;950.0;0.5413271245634459;-74.43247962747381;0.0;493.49692;2.0
453243;Panecillo 100% Integral;123.95874;20.3;961.0;0.0;;;;123.95874;961.0;0.0;20.3;0.0;247.91748;2.0
406301;Viena Mondat con Salvado 145 gr;224.3976;56.1;987.0;0.0;;48.8;59.9;224.3976;987.0;0.22745901639344268;-12.760450819672135;0.0;448.7952;2.0
430731;Panecito Easy;158.31932;202.5;1072.0;0.0;;98.2;98.5;158.31932;1072.0;0.003054989816700493;202.5;1560.5;1560.5;9.85666184013423
434201;Viena Easy;185.45964;69.9;1082.0;0.0;;62.2;31.7;185.45964;1082.0;0.4903536977491961;34.275723472668815;0.0;370.91928;2.0
5720811;Baguetina Cereales;107.09612;289.3;106.0;0.0;1316.0;;;107.09612;1422.0;0.0;289.3;2338.9;2338.9;21.839259909696075
430621;Pepito Easy;166.2776;188.5;1941.0;0.0;;182.9;133.3;166.2776;1941.0;0.27118644067796605;51.1186440677966;0.0;332.5552;2.0
430702;Panecito Ecológico Easy;158.42696;70.0;2179.0;0.0;;109.6;88.2;158.42696;2179.0;0.19525547445255464;70.0;0.0;316.85392;2.0
5718540;Panecillo con  Semillas;138.85714;563.7;265.0;0.0;2156.0;349.1;241.1;138.85714;2421.0;0.30936694356917793;174.3901460899456;0.0;277.71428;2.0
